,GLUE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),1.41,12.61,Valuation,0.11181601903251388
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.030699999999999998,-0.0014000000000000002,Gowth rates,21.928571428571423
EPS Growth (TTM),-0.3923,0.027200000000000002,Gowth rates,-14.422794117647058
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.3064,0.1967,Effectiveness,-1.5577020843924758
Return On Assets (TTM),-0.27280000000000004,0.0016,Effectiveness,-170.50000000000003
Return On Investment (TTM),-0.2861,0.0219,Effectiveness,-13.06392694063927
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
